filename_key,GSE,tissue,species,category,description,modality,cell_count,drop_status
GSM8462143_AL05_ATAC_filtered_peak_bc_matrix,GSM8462143,other,human,Unknown,GSM8462143_AL05_ATAC_filtered_peak_bc_matrix,scatac,8872,kept
GSM8462144_AL08_ATAC_filtered_peak_bc_matrix,GSM8462144,other,human,Unknown,GSM8462144_AL08_ATAC_filtered_peak_bc_matrix,scatac,4116,kept
GSM8462145_AL10_ATAC_filtered_peak_bc_matrix,GSM8462145,other,human,Unknown,GSM8462145_AL10_ATAC_filtered_peak_bc_matrix,scatac,8389,kept
GSM8462146_AL11_ATAC_filtered_peak_bc_matrix,GSM8462146,other,human,Unknown,GSM8462146_AL11_ATAC_filtered_peak_bc_matrix,scatac,2075,kept
GSM8462147_AL12_ATAC_filtered_peak_bc_matrix,GSM8462147,other,human,Unknown,GSM8462147_AL12_ATAC_filtered_peak_bc_matrix,scatac,5048,kept
GSM8517035_scATAC_P28_Dlx_ALM_rep1_filtered_peak_bc_matrix,GSM8517035,other,mouse,Unknown,GSM8517035_scATAC_P28_Dlx_ALM_rep1_filtered_peak_bc_matrix,scatac,4425,kept
GSM8546124_Control_filtered_peak_bc_matrix,GSM8546124,other,mouse,Unknown,GSM8546124_Control_filtered_peak_bc_matrix,scatac,9531,kept
GSM8546125_BLM_filtered_peak_bc_matrix,GSM8546125,other,mouse,Unknown,GSM8546125_BLM_filtered_peak_bc_matrix,scatac,10772,kept
GSM8685152_TK64_filtered_feature_bc_matrix,GSM8685152,other,mouse,Unknown,GSM8685152_TK64_filtered_feature_bc_matrix,scatac,27166,kept
GSM8685155_TKX_filtered_feature_bc_matrix,GSM8685155,other,mouse,Unknown,GSM8685155_TKX_filtered_feature_bc_matrix,scatac,16236,kept
GSM8685177_TKC7_filtered_feature_bc_matrix,GSM8685177,other,mouse,Unknown,GSM8685177_TKC7_filtered_feature_bc_matrix,scatac,22409,kept
GSM8729707_filtered_peak_bc_matrix_cellrangerGenome,GSM8729707,other,human,Unknown,GSM8729707_filtered_peak_bc_matrix_cellrangerGenome,scatac,7934,kept
GSM8852347_MH_07_042_M2_filtered_peak_bc_matrix,GSM8852347,other,human,Unknown,GSM8852347_MH_07_042_M2_filtered_peak_bc_matrix,scatac,3147,kept
GSM8852348_MH_13-084-D12_filtered_feature_bc_matrix,GSM8852348,other,human,Unknown,GSM8852348_MH_13-084-D12_filtered_feature_bc_matrix,scatac,9865,kept
GSM8852349_MH_13_084_D13_filtered_peak_bc_matrix,GSM8852349,other,human,Unknown,GSM8852349_MH_13_084_D13_filtered_peak_bc_matrix,scatac,16176,kept
GSM8900548_sample1_ATAC_filtered_peak_bc_matrix,GSM8900548,other,mouse,Unknown,GSM8900548_sample1_ATAC_filtered_peak_bc_matrix,scatac,20005,kept
GSM8900549_sample2_ATAC_filtered_peak_bc_matrix,GSM8900549,other,mouse,Unknown,GSM8900549_sample2_ATAC_filtered_peak_bc_matrix,scatac,16778,kept
GSM8900550_sample3_ATAC_filtered_peak_bc_matrix,GSM8900550,other,mouse,Unknown,GSM8900550_sample3_ATAC_filtered_peak_bc_matrix,scatac,15701,kept
GSM8900551_sample4_ATAC_filtered_peak_bc_matrix,GSM8900551,other,mouse,Unknown,GSM8900551_sample4_ATAC_filtered_peak_bc_matrix,scatac,20020,kept
GSM8900552_sample5_ATAC_filtered_peak_bc_matrix,GSM8900552,other,mouse,Unknown,GSM8900552_sample5_ATAC_filtered_peak_bc_matrix,scatac,9382,kept
GSM8900553_sample6_ATAC_filtered_peak_bc_matrix,GSM8900553,other,mouse,Unknown,GSM8900553_sample6_ATAC_filtered_peak_bc_matrix,scatac,14346,kept
GSM8997246_Sample1_filtered_peak_bc_matrix,GSM8997246,other,human,Unknown,GSM8997246_Sample1_filtered_peak_bc_matrix,scatac,9346,kept
GSE185538_new,GSE185538,embryo,rat,geo,GEO cellranger download (24573 cells),scrna,24573,kept
GSE130430_new,GSE130430,bone_marrow,human,geo,GEO cellranger download (886 cells),scrna,886,kept
GSE155249_new,GSE155249,breast,human,geo,GEO cellranger download (3595 cells),scrna,3595,kept
GSE205506_new,GSE205506,neuro,human,geo,GEO cellranger download (1666 cells),scrna,1666,kept
GSE139324_new,GSE139324,hnscc,human,geo,GEO cellranger download (1725 cells),scrna,1725,kept
GSE167118_new,GSE167118,brain,human,geo,GEO cellranger download (3273 cells),scrna,3273,kept
GSE162454_new,GSE162454,liver,human,geo,GEO cellranger download (8894 cells),scrna,8894,kept
GSE145926_new,GSE145926,balf,human,geo,GEO cellranger download (6249 cells),scrna,6249,kept
GSE166635_new,GSE166635,brain,human,geo,GEO cellranger download (16077 cells),scrna,16077,kept
GSE163558_new,GSE163558,stomach,human,geo,GEO cellranger download (2866 cells),scrna,2866,kept
GSE164378_new,GSE164378,pbmc,human,geo,GEO cellranger download (161764 cells),scrna,161764,kept
GSE149689_new,GSE149689,blood,human,geo,GEO cellranger download (85144 cells),scrna,85144,kept
GSE151530_new,GSE151530,liver,human,geo,GEO cellranger download (56721 cells),scrna,56721,kept
GSE158803_new,GSE158803,neural,human,geo,GEO cellranger download (1092 cells),scrna,1092,kept
GSE163484_new,GSE163484,brain,mouse,geo,GEO cellranger download (8203 cells),scrna,8203,kept
GSE175814_new,GSE175814,lung,human,geo,GEO cellranger download (6223 cells),scrna,6223,kept
GSE181061_new,GSE181061,kidney,human,geo,GEO cellranger download (108421 cells),scrna,108421,kept
GSE186344_new,GSE186344,bladder,human,geo,GEO cellranger download (2228 cells),scrna,2228,kept
GSE197177_new,GSE197177,gut,human,geo,GEO cellranger download (21560 cells),scrna,21560,kept
GSE213337_new,GSE213337,pancreas,mouse,geo,GEO cellranger download (8631 cells),scrna,8631,kept
GSE235063_new,GSE235063,thymus,human,geo,GEO cellranger download (6757 cells),scrna,6757,kept
