figure_id,comparison_id,reference,other,modality,metric,mean_diff,p_raw,p_holm,n_pairs,ci_lo,ci_hi
fig04,fig04_CCVGAE_vs_CouVAE,CCVGAE,CouVAE,scrna,manifold_dimensionality_intrin,0.074318,0.000000,0.000000,45,0.055818,0.091781
fig04,fig04_CCVGAE_vs_CouVAE,CCVGAE,CouVAE,scrna,noise_resilience_intrin,0.164271,0.000000,0.000000,45,0.112649,0.219949
fig04,fig04_CCVGAE_vs_CouVAE,CCVGAE,CouVAE,scrna,overall_quality_intrin,0.101951,0.000000,0.000000,45,0.081736,0.122295
fig04,fig04_CCVGAE_vs_CouVAE,CCVGAE,CouVAE,scrna,overall_quality_tsne,0.002405,0.788489,0.788489,45,-0.014285,0.018915
fig04,fig04_CCVGAE_vs_CouVAE,CCVGAE,CouVAE,scrna,overall_quality_umap,-0.013232,0.184708,0.184708,45,-0.032461,0.006042
fig04,fig04_CCVGAE_vs_CouVAE,CCVGAE,CouVAE,scrna,participation_ratio_intrin,0.081241,0.000000,0.000000,45,0.063223,0.099496
fig04,fig04_CCVGAE_vs_CouVAE,CCVGAE,CouVAE,scrna,spectral_decay_rate_intrin,0.071501,0.000000,0.000000,45,0.063567,0.079492
fig04,fig04_CCVGAE_vs_CouVAE,CCVGAE,CouVAE,scrna,trajectory_directionality_intrin,0.091368,0.000000,0.000000,45,0.070728,0.112408
fig04,fig04_CCVGAE_vs_GAT-VAE,CCVGAE,GAT-VAE,scrna,ASW,0.223671,0.000000,0.000000,45,0.204907,0.243643
fig04,fig04_CCVGAE_vs_GAT-VAE,CCVGAE,GAT-VAE,scrna,CAL,4076.769221,0.000000,0.000000,45,3441.096478,4797.972408
fig04,fig04_CCVGAE_vs_GAT-VAE,CCVGAE,GAT-VAE,scrna,DAV,-0.597137,0.000000,0.000000,45,-0.664720,-0.534256
fig04,fig04_CCVGAE_vs_GAT-VAE,CCVGAE,GAT-VAE,scrna,K_max_tsne,-201.822222,0.000000,0.000000,45,-232.378333,-172.221667
fig04,fig04_CCVGAE_vs_GAT-VAE,CCVGAE,GAT-VAE,scrna,K_max_umap,-211.466667,0.000000,0.000000,45,-251.645556,-177.043889
fig04,fig04_CCVGAE_vs_GAT-VAE,CCVGAE,GAT-VAE,scrna,Q_global_tsne,0.027568,0.000003,0.000011,45,0.017814,0.037171
fig04,fig04_CCVGAE_vs_GAT-VAE,CCVGAE,GAT-VAE,scrna,Q_global_umap,0.018455,0.001343,0.004029,45,0.008385,0.028364
fig04,fig04_CCVGAE_vs_GAT-VAE,CCVGAE,GAT-VAE,scrna,Q_local_tsne,0.155577,0.000000,0.000000,45,0.138788,0.174298
fig04,fig04_CCVGAE_vs_GAT-VAE,CCVGAE,GAT-VAE,scrna,Q_local_umap,0.134956,0.000000,0.000000,45,0.117519,0.153762
fig04,fig04_CCVGAE_vs_GAT-VAE,CCVGAE,GAT-VAE,scrna,anisotropy_score_intrin,0.246289,0.000000,0.000000,45,0.234602,0.259089
fig04,fig04_CCVGAE_vs_GAT-VAE,CCVGAE,GAT-VAE,scrna,distance_correlation_tsne,0.033893,0.052989,0.154741,45,0.005128,0.063828
fig04,fig04_CCVGAE_vs_GAT-VAE,CCVGAE,GAT-VAE,scrna,distance_correlation_umap,0.014311,0.302187,0.302187,45,-0.011056,0.039091
fig04,fig04_CCVGAE_vs_GAT-VAE,CCVGAE,GAT-VAE,scrna,manifold_dimensionality_intrin,0.274176,0.000000,0.000000,45,0.255203,0.292843
