dataset_id,gse,path_abs,tissue,organism,cell_count,n_genes,modality,provenance_dir,format,priority_guess
paul,unknown,/home/zeyufu/LAB/SCFOCUS/export_datas/paul.h5ad,unknown,mouse,2730,3451,scRNA,/home/zeyufu/LAB/SCFOCUS/export_datas,h5ad,2
lung,unknown,/home/zeyufu/LAB/SCFOCUS/export_datas/lung.h5ad,lung,unknown,24882,24051,scRNA,/home/zeyufu/LAB/SCFOCUS/export_datas,h5ad,2
hemato,unknown,/home/zeyufu/LAB/SCFOCUS/export_datas/hemato.h5ad,bone_marrow_blood,unknown,22602,32288,scRNA,/home/zeyufu/LAB/SCFOCUS/export_datas,h5ad,2
spinoids,unknown,/home/zeyufu/LAB/SCFOCUS/export_datas/spinoids.h5ad,brain_neural,mouse,9619,20790,scRNA,/home/zeyufu/LAB/SCFOCUS/export_datas,h5ad,2
dentate,unknown,/home/zeyufu/LAB/SCFOCUS/export_datas/dentate.h5ad,brain_neural,mouse,18213,27998,scRNA,/home/zeyufu/LAB/SCFOCUS/export_datas,h5ad,2
pbmc3k_raw,unknown,/home/zeyufu/LAB/SCFOCUS/data/pbmc3k_raw.h5ad,bone_marrow_blood,human,2700,32738,scRNA,/home/zeyufu/LAB/SCFOCUS/data,h5ad,2
LSKbatch,unknown,/home/zeyufu/LAB/IVAE/LSKbatch.h5ad,bone_marrow_blood,mouse,16879,31053,scRNA,/home/zeyufu/LAB/IVAE,h5ad,2
aml,unknown,/home/zeyufu/LAB/IVAE/aml.h5ad,unknown,unknown,42398,33538,scRNA,/home/zeyufu/LAB/IVAE,h5ad,2
MouseBrain,unknown,/home/zeyufu/LAB/IAODEVAE/iAODE_results/MB/MouseBrain.h5ad,brain_neural,mouse,4008,5000,scRNA,/home/zeyufu/LAB/IAODEVAE/iAODE_results,h5ad,1
PBMC,unknown,/home/zeyufu/LAB/IAODEVAE/iAODE_results/PBMC/PBMC.h5ad,bone_marrow_blood,human,10273,5000,scRNA,/home/zeyufu/LAB/IAODEVAE/iAODE_results,h5ad,1
mouse_brain_5k_v1.1,unknown,/home/zeyufu/LAB/IAODEVAE/iAODE/examples/data/mouse_brain_5k_v1.1.h5,brain_neural,mouse,5337,157797,scRNA,/home/zeyufu/LAB/IAODEVAE/iAODE/examples/data,h5_10x,1
SubSampledIRALL,unknown,/home/zeyufu/LAB/scCCVGBen/CG_results/SubSampledIRALL.h5ad,bone_marrow_blood,unknown,3000,1527,scRNA,/home/zeyufu/LAB/scCCVGBen/CG_results,h5ad,2
SubSampledSD,unknown,/home/zeyufu/LAB/scCCVGBen/CG_results/SubSampledSD.h5ad,unknown,unknown,3000,5000,scRNA,/home/zeyufu/LAB/scCCVGBen/CG_results,h5ad,2
SubSampledUCB,unknown,/home/zeyufu/LAB/scCCVGBen/CG_results/SubSampledUCB.h5ad,unknown,unknown,3000,3144,scRNA,/home/zeyufu/LAB/scCCVGBen/CG_results,h5ad,2
SubSampledIR,unknown,/home/zeyufu/LAB/MCC_results/SubSampledIR.h5ad,unknown,unknown,3000,1527,scRNA,/home/zeyufu/LAB/MCC_results,h5ad,2
SubSampledUCB,unknown,/home/zeyufu/LAB/MCC_results/SubSampledUCB.h5ad,unknown,unknown,3000,3144,scRNA,/home/zeyufu/LAB/MCC_results,h5ad,2
AML_code,unknown,/home/zeyufu/LAB/CODEVAE/AML_code.h5ad,unknown,unknown,10224,15711,scRNA,/home/zeyufu/LAB/CODEVAE,h5ad,1
UCB_code,unknown,/home/zeyufu/LAB/CODEVAE/UCB_code.h5ad,unknown,unknown,39851,36601,scRNA,/home/zeyufu/LAB/CODEVAE,h5ad,1
