dataset_id,gse,path_abs,tissue,organism,cell_count,n_genes,modality,provenance_dir,format,priority_guess
GSM8248668_4WKs_LN_neg_filtered_peak_bc_matrix,GSM8248668,/home/zeyufu/Downloads/ATAC_data/GSM8248668_4WKs_LN_neg_filtered_peak_bc_matrix.h5ad,unknown,unknown,3134,140073,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM8852348_MH_13-084-D12_filtered_feature_bc_matrix,GSM8852348,/home/zeyufu/Downloads/ATAC_data/GSM8852348_MH_13-084-D12_filtered_feature_bc_matrix.h5ad,unknown,unknown,9865,137044,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM7777063_AOA_filtered_peak_bc_matrix,GSM7777063,/home/zeyufu/Downloads/ATAC_data/GSM7777063_AOA_filtered_peak_bc_matrix.h5ad,unknown,unknown,6819,228192,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM5769460_Day5_DTR_S_filtered_peak_bc_matrix,GSM5769460,/home/zeyufu/Downloads/ATAC_data/GSM5769460_Day5_DTR_S_filtered_peak_bc_matrix.h5ad,unknown,unknown,15982,111585,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM8729707_filtered_peak_bc_matrix_cellrangerGenome,GSM8729707,/home/zeyufu/Downloads/ATAC_data/GSM8729707_filtered_peak_bc_matrix_cellrangerGenome.h5ad,unknown,unknown,7934,118282,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM7734715_MGH234_filtered_peak_bc_matrix,GSM7734715,/home/zeyufu/Downloads/ATAC_data/GSM7734715_MGH234_filtered_peak_bc_matrix.h5ad,unknown,unknown,6357,113635,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM7064214_19_D003_filtered_peak_bc_matrix,GSM7064214,/home/zeyufu/Downloads/ATAC_data/GSM7064214_19_D003_filtered_peak_bc_matrix.h5ad,unknown,unknown,4112,47140,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM8546124_Control_filtered_peak_bc_matrix,GSM8546124,/home/zeyufu/Downloads/ATAC_data/GSM8546124_Control_filtered_peak_bc_matrix.h5ad,unknown,unknown,9531,165070,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM6783751_d20-p100_filtered_peak_bc_matrix,GSM6783751,/home/zeyufu/Downloads/ATAC_data/GSM6783751_d20-p100_filtered_peak_bc_matrix.h5ad,unknown,unknown,3084,141970,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM6052782_E16,GSM6052782,/home/zeyufu/Downloads/ATAC_data/GSM6052782_E16.h5ad,unknown,unknown,7714,162578,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM8685177_TKC7_filtered_feature_bc_matrix,GSM8685177,/home/zeyufu/Downloads/ATAC_data/GSM8685177_TKC7_filtered_feature_bc_matrix.h5ad,unknown,unknown,22409,31053,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM8900548_sample1_ATAC_filtered_peak_bc_matrix,GSM8900548,/home/zeyufu/Downloads/ATAC_data/GSM8900548_sample1_ATAC_filtered_peak_bc_matrix.h5ad,atac_generic,unknown,20005,43683,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM5769463_Day7_DTR_U_filtered_peak_bc_matrix,GSM5769463,/home/zeyufu/Downloads/ATAC_data/GSM5769463_Day7_DTR_U_filtered_peak_bc_matrix.h5ad,unknown,unknown,3187,110704,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM7308367_Exp157DukeaBMTB_filtered_peak_bc_matrix,GSM7308367,/home/zeyufu/Downloads/ATAC_data/GSM7308367_Exp157DukeaBMTB_filtered_peak_bc_matrix.h5ad,bone_marrow_blood,unknown,12773,111884,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM7062449_D8-2_filtered_peak_bc_matrix,GSM7062449,/home/zeyufu/Downloads/ATAC_data/GSM7062449_D8-2_filtered_peak_bc_matrix.h5ad,unknown,unknown,4379,120183,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSE198730_naive_ESC_scATAC_rep1_filtered_peak_bc_matrix,GSE198730,/home/zeyufu/Downloads/ATAC_data/GSE198730_naive_ESC_scATAC_rep1_filtered_peak_bc_matrix.h5ad,atac_generic,unknown,5000,134946,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM5402770_P115L1mutP_filtered_peak_bc_matrix,GSM5402770,/home/zeyufu/Downloads/ATAC_data/GSM5402770_P115L1mutP_filtered_peak_bc_matrix.h5ad,unknown,unknown,9495,135118,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSE174367_snATAC-seq_filtered_peak_bc_matrix,GSE174367,/home/zeyufu/Downloads/ATAC_data/GSE174367_snATAC-seq_filtered_peak_bc_matrix.h5ad,atac_generic,unknown,143401,219070,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM7884543_D030_13_macular_atac_filtered_peak_bc_matrix,GSM7884543,/home/zeyufu/Downloads/ATAC_data/GSM7884543_D030_13_macular_atac_filtered_peak_bc_matrix.h5ad,atac_generic,unknown,9640,33451,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM8008842_vcap_enz_filtered_peak_bc_matrix,GSM8008842,/home/zeyufu/Downloads/ATAC_data/GSM8008842_vcap_enz_filtered_peak_bc_matrix.h5ad,prostate,unknown,497,113453,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM8008841_vcap_d_filtered_peak_bc_matrix,GSM8008841,/home/zeyufu/Downloads/ATAC_data/GSM8008841_vcap_d_filtered_peak_bc_matrix.h5ad,prostate,unknown,1077,138697,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM5124061_PDX_390_vehicle_peak_bc_matrix,GSM5124061,/home/zeyufu/Downloads/ATAC_data/GSM5124061_PDX_390_vehicle_peak_bc_matrix.h5ad,unknown,unknown,3350,117912,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM8397467_WT2_filtered_peak_bc_matrix,GSM8397467,/home/zeyufu/Downloads/ATAC_data/GSM8397467_WT2_filtered_peak_bc_matrix.h5ad,unknown,unknown,4207,132102,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM6044074_4P_human_filtered_peak_bc_matrix,GSM6044074,/home/zeyufu/Downloads/ATAC_data/GSM6044074_4P_human_filtered_peak_bc_matrix.h5ad,unknown,human,1178,89595,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM7777060_CTRL_filtered_peak_bc_matrix,GSM7777060,/home/zeyufu/Downloads/ATAC_data/GSM7777060_CTRL_filtered_peak_bc_matrix.h5ad,unknown,unknown,5814,254291,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM8248670_8WKs_PosBCG_filtered_peak_bc_matrix,GSM8248670,/home/zeyufu/Downloads/ATAC_data/GSM8248670_8WKs_PosBCG_filtered_peak_bc_matrix.h5ad,unknown,unknown,6718,127081,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM5402772_MPNST_2-084_filtered_peak_bc_matrix,GSM5402772,/home/zeyufu/Downloads/ATAC_data/GSM5402772_MPNST_2-084_filtered_peak_bc_matrix.h5ad,unknown,unknown,1658,85858,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM7734291_D2_filtered_peak_bc_matrix,GSM7734291,/home/zeyufu/Downloads/ATAC_data/GSM7734291_D2_filtered_peak_bc_matrix.h5ad,unknown,unknown,15709,109231,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM8462143_AL05_ATAC_filtered_peak_bc_matrix,GSM8462143,/home/zeyufu/Downloads/ATAC_data/GSM8462143_AL05_ATAC_filtered_peak_bc_matrix.h5ad,atac_generic,unknown,8872,198181,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM6044072_1P_human_filtered_peak_bc_matrix,GSM6044072,/home/zeyufu/Downloads/ATAC_data/GSM6044072_1P_human_filtered_peak_bc_matrix.h5ad,unknown,human,2775,94687,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM7056609_HP_20210331_MONOS_filtered_peak_bc_matrix,GSM7056609,/home/zeyufu/Downloads/ATAC_data/GSM7056609_HP_20210331_MONOS_filtered_peak_bc_matrix.h5ad,monocyte,unknown,6654,105974,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
